well	subject	donor	recipient	controls	replicate
B3	XBA	XDB-029	XBA-pre-abx	NA	1
B4	XBA	XEB-029	XBA-pre-abx	NA	1
B5	XBA	XFB-029	XBA-pre-abx	NA	1
B6	XBA	XGB-029	XBA-pre-abx	NA	1
B7	XBA	XHB-029	XBA-pre-abx	NA	1
B8	XBA	XIB-029	XBA-pre-abx	NA	1
B9	XBA	XJB-029	XBA-pre-abx	NA	1
B10	XBA	XKB-029	XBA-pre-abx	NA	1
B11	XBA	super-community	XBA-pre-abx	NA	1
B12	XBA	blank	XBA-pre-abx	NA	1
C1	XBA	XBB-029	XBA-pre-abx	NA	2
C2	XBA	XCB-029	XBA-pre-abx	NA	2
C3	XBA	XDB-029	XBA-pre-abx	NA	2
C4	XBA	XEB-029	XBA-pre-abx	NA	2
C5	XBA	XFB-029	XBA-pre-abx	NA	2
C6	XBA	XGB-029	XBA-pre-abx	NA	2
C7	XBA	XHB-029	XBA-pre-abx	NA	2
C8	XBA	XIB-029	XBA-pre-abx	NA	2
C9	XBA	XJB-029	XBA-pre-abx	NA	2
C10	XBA	XKB-029	XBA-pre-abx	NA	2
C11	XBA	super-community	XBA-pre-abx	NA	2
C12	XBA	blank	XBA-pre-abx	NA	2
D1	XBA	XBB-029	XBA-post-abx	NA	1
D2	XBA	XCB-029	XBA-post-abx	NA	1
D3	XBA	XDB-029	XBA-post-abx	NA	1
D4	XBA	XEB-029	XBA-post-abx	NA	1
D5	XBA	XFB-029	XBA-post-abx	NA	1
D6	XBA	XGB-029	XBA-post-abx	NA	1
D7	XBA	XHB-029	XBA-post-abx	NA	1
D8	XBA	XIB-029	XBA-post-abx	NA	1
D9	XBA	XJB-029	XBA-post-abx	NA	1
D10	XBA	XKB-029	XBA-post-abx	NA	1
D11	XBA	super-community	XBA-post-abx	NA	1
D12	XBA	blank	XBA-post-abx	NA	1
E1	XBA	XBB-029	XBA-post-abx	NA	2
E2	XBA	XCB-029	XBA-post-abx	NA	2
E3	XBA	XDB-029	XBA-post-abx	NA	2
E4	XBA	XEB-029	XBA-post-abx	NA	2
E5	XBA	XFB-029	XBA-post-abx	NA	2
E6	XBA	XGB-029	XBA-post-abx	NA	2
E7	XBA	XHB-029	XBA-post-abx	NA	2
E8	XBA	XIB-029	XBA-post-abx	NA	2
E9	XBA	XJB-029	XBA-post-abx	NA	2
E10	XBA	XKB-029	XBA-post-abx	NA	2
E11	XBA	super-community	XBA-post-abx	NA	2
E12	XBA	blank	XBA-post-abx	NA	2
F1	XBA	XBB-029	XBA-drop-out	NA	1
F2	XBA	XCB-029	XBA-drop-out	NA	1
F3	XBA	XDB-029	XBA-drop-out	NA	1
F4	XBA	XEB-029	XBA-drop-out	NA	1
F5	XBA	XFB-029	XBA-drop-out	NA	1
F6	XBA	XGB-029	XBA-drop-out	NA	1
F7	XBA	XHB-029	XBA-drop-out	NA	1
F8	XBA	XIB-029	XBA-drop-out	NA	1
F9	XBA	XJB-029	XBA-drop-out	NA	1
F10	XBA	XKB-029	XBA-drop-out	NA	1
F11	XBA	super-community	XBA-drop-out	NA	1
F12	XBA	blank	XBA-drop-out	NA	1
G1	XBA	XBB-029	XBA-drop-out	NA	2
G2	XBA	XCB-029	XBA-drop-out	NA	2
G3	XBA	XDB-029	XBA-drop-out	NA	2
G4	XBA	XEB-029	XBA-drop-out	NA	2
G5	XBA	XFB-029	XBA-drop-out	NA	2
G6	XBA	XGB-029	XBA-drop-out	NA	2
G7	XBA	XHB-029	XBA-drop-out	NA	2
G8	XBA	XIB-029	XBA-drop-out	NA	2
G9	XBA	XJB-029	XBA-drop-out	NA	2
