filename	round2plate	round1index	well	plate	group	donor	recipient
16S-B-C7-L0	B	0	C7	e0058-A-5	e0058	blank	bifid-drop-3
16S-B-D7-L0	B	0	D7	e0058-A-5	e0058	blank	strep-drop-2
16S-B-E7-L0	B	0	E7	e0058-A-5	e0058	blank	blank
16S-B-F7-L0	B	0	F7	e0058-A-5	e0058	blank	blank
16S-B-G7-L0	B	0	G7	e0058-A-5	e0058	blank	blank
16S-B-H7-L0	B	0	H7	e0058-A-5	e0058	blank	blank
16S-B-A8-L0	B	0	A8	e0058-A-5	e0058	blank	strep-dropped
16S-B-B8-L0	B	0	B8	e0058-A-5	e0058	blank	strep-dropped-single-strain
16S-B-C8-L0	B	0	C8	e0058-A-5	e0058	blank	bifid-drop-4
16S-B-D8-L0	B	0	D8	e0058-A-5	e0058	blank	strep-drop-3
16S-B-E8-L0	B	0	E8	e0058-A-5	e0058	blank	blank
16S-B-F8-L0	B	0	F8	e0058-A-5	e0058	blank	blank
16S-B-G8-L0	B	0	G8	e0058-A-5	e0058	blank	blank
16S-B-H8-L0	B	0	H8	e0058-A-5	e0058	blank	blank
16S-B-A9-L0	B	0	A9	e0058-A-5	e0058	blank	bacte-dropped
16S-B-B9-L0	B	0	B9	e0058-A-5	e0058	blank	bacte-dropped-single-strain
16S-B-C9-L0	B	0	C9	e0058-A-5	e0058	blank	erysT-drop-1
16S-B-D9-L0	B	0	D9	e0058-A-5	e0058	blank	strep-drop-4
16S-B-E9-L0	B	0	E9	e0058-A-5	e0058	blank	blank
16S-B-F9-L0	B	0	F9	e0058-A-5	e0058	blank	blank
16S-B-G9-L0	B	0	G9	e0058-A-5	e0058	blank	blank
16S-B-H9-L0	B	0	H9	e0058-A-5	e0058	blank	blank
16S-B-A10-L0	B	0	A10	e0058-A-5	e0058	blank	blank
16S-B-B10-L0	B	0	B10	e0058-A-5	e0058	blank	blank
16S-B-C10-L0	B	0	C10	e0058-A-5	e0058	blank	erysT-drop-2
16S-B-D10-L0	B	0	D10	e0058-A-5	e0058	blank	strep-drop-5
16S-B-E10-L0	B	0	E10	e0058-A-5	e0058	blank	blank
16S-B-F10-L0	B	0	F10	e0058-A-5	e0058	blank	blank
16S-B-G10-L0	B	0	G10	e0058-A-5	e0058	blank	blank
16S-B-H10-L0	B	0	H10	e0058-A-5	e0058	blank	blank
16S-B-A11-L0	B	0	A11	e0058-A-5	e0058	blank	blank
16S-B-B11-L0	B	0	B11	e0058-A-5	e0058	blank	blank
16S-B-C11-L0	B	0	C11	e0058-A-5	e0058	blank	famXI-drop-1
16S-B-D11-L0	B	0	D11	e0058-A-5	e0058	blank	blank
16S-B-E11-L0	B	0	E11	e0058-A-5	e0058	blank	blank
16S-B-F11-L0	B	0	F11	e0058-A-5	e0058	blank	blank
16S-B-G11-L0	B	0	G11	e0058-A-5	e0058	blank	blank
16S-B-H11-L0	B	0	H11	e0058-A-5	e0058	blank	blank
16S-B-A12-L0	B	0	A12	e0058-A-5	e0058	blank	blank
16S-B-B12-L0	B	0	B12	e0058-A-5	e0058	blank	blank
16S-B-C12-L0	B	0	C12	e0058-A-5	e0058	blank	lachn-drop-1
16S-B-D12-L0	B	0	D12	e0058-A-5	e0058	blank	blank
16S-B-E12-L0	B	0	E12	e0058-A-5	e0058	blank	blank
16S-B-F12-L0	B	0	F12	e0058-A-5	e0058	blank	blank
16S-B-G12-L0	B	0	G12	e0058-A-5	e0058	blank	blank
16S-B-H12-L0	B	0	H12	e0058-A-5	e0058	blank	blank
