"level" "taxa" "taxashort" "hex" "R" "G" "B"
"3" "Bacteria.Chlamydiae.Chlamydiia" "Chlamydiia" "#D3FF00" "0.827586206896552" "1" "0"
"3" "Bacteria.Chloroflexi.Anaerolineae" "Anaerolineae" "#B94FD3" "0.724137931034483" "0.310344827586207" "0.827586206896552"
"3" "Bacteria.Chloroflexi.Chloroflexi" "Chloroflexi" "#3E001A" "0.241379310344828" "0" "0.103448275862069"
"3" "Bacteria.Chloroflexi.Ellin6529" "Ellin6529" "#EDFFB0" "0.931034482758621" "1" "0.689655172413793"
"3" "Bacteria.Chloroflexi.Gitt-GS-136" "Gitt-GS-136" "#FF7B61" "1" "0.482758620689655" "0.379310344827586"
"3" "Bacteria.Chloroflexi.S085" "S085" "#46FF7B" "0.275862068965517" "1" "0.482758620689655"
"3" "Bacteria.Chloroflexi.TK10" "TK10" "#12A761" "0.0689655172413793" "0.655172413793103" "0.379310344827586"
"3" "Bacteria.Chloroflexi.Thermomicrobia" "Thermomicrobia" "#D3A7A7" "0.827586206896552" "0.655172413793103" "0.655172413793103"
"3" "Bacteria.Cyanobacteria.4C0d-2" "4C0d-2" "#D34F84" "0.827586206896552" "0.310344827586207" "0.517241379310345"
"3" "Bacteria.Cyanobacteria.Chloroplast" "Chloroplast" "#6A00C1" "0.413793103448276" "0" "0.758620689655172"
"3" "Bacteria.Cyanobacteria.ML635J-21" "ML635J-21" "#2C6146" "0.172413793103448" "0.379310344827586" "0.275862068965517"
"3" "Bacteria.Cyanobacteria.Nostocophycideae" "Nostocophycideae" "#0095F6" "0" "0.586206896551724" "0.96551724137931"
"3" "Bacteria.Cyanobacteria.Oscillatoriophycideae" "Oscillatoriophycideae" "#093E4F" "0.0344827586206897" "0.241379310344828" "0.310344827586207"
"3" "Bacteria.Cyanobacteria.Synechococcophycideae" "Synechococcophycideae" "#A75809" "0.655172413793103" "0.344827586206897" "0.0344827586206897"
"3" "Bacteria.Deferribacteres.Deferribacteres" "Deferribacteres" "#72613E" "0.448275862068966" "0.379310344827586" "0.241379310344828"
"3" "Bacteria.Firmicutes.Bacilli" "Bacilli" "#099500" "0.0344827586206897" "0.586206896551724" "0"
"3" "Bacteria.Firmicutes.Clostridia" "Clostridia" "#9E6AB9" "0.620689655172414" "0.413793103448276" "0.724137931034483"
"3" "Bacteria.Firmicutes.Erysipelotrichi" "Erysipelotrichi" "#FFFF72" "1" "1" "0.448275862068966"
"3" "Bacteria.Fusobacteria.Fusobacteriia" "Fusobacteriia" "#A7F6CA" "0.655172413793103" "0.96551724137931" "0.793103448275862"
"3" "Bacteria.Gemmatimonadetes.Gemm-3" "Gemm-3" "#95B0B9" "0.586206896551724" "0.689655172413793" "0.724137931034483"
"3" "Bacteria.Gemmatimonadetes.Gemm-5" "Gemm-5" "#B0B009" "0.689655172413793" "0.689655172413793" "0.0344827586206897"
"3" "Bacteria.Gemmatimonadetes.Gemmatimonadetes" "Gemmatimonadetes" "#2C004F" "0.172413793103448" "0" "0.310344827586207"
"3" "Bacteria.Lentisphaerae.[Lentisphaeria]" "[Lentisphaeria]" "#00CAFF" "0" "0.793103448275862" "1"
"3" "Bacteria.Nitrospirae.Nitrospira" "Nitrospira" "#4F2300" "0.310344827586207" "0.137931034482759" "0"
"3" "Bacteria.Planctomycetes.028H05-P-BN-P5" "028H05-P-BN-P5" "#00B9A7" "0" "0.724137931034483" "0.655172413793103"
"3" "Bacteria.Planctomycetes.Phycisphaerae" "Phycisphaerae" "#9E0035" "0.620689655172414" "0" "0.206896551724138"
"3" "Bacteria.Planctomycetes.Planctomycetia" "Planctomycetia" "#4F7BB0" "0.310344827586207" "0.482758620689655" "0.689655172413793"
